0,1,2,3,4,5,6,7,8,9
[6177.0335581  5782.71477932],[1675.72880723 5686.74903455],[6483.6534812  6943.73674042],[1366.60411687 6834.08066552],[1232.17405699 7688.64302235],[ 638.1346794  5896.43520207],[1201.87752285 4662.92543801],[3738.29384677 7782.1514705 ],[4518.45434483 5450.1636079 ],[7280.64169161 5966.63933681]
[6106.89894589 5742.82662089],[1681.84741562 5689.74624384],[6503.1492993  6775.43848182],[1366.60411687 6834.08066552],[1233.82921475 7664.9240301 ],[ 710.74930394 5800.22534314],[1180.05916144 4748.27401254],[3738.29384677 7782.1514705 ],[4518.45434483 5450.1636079 ],[7280.64169161 5966.63933681]
[5996.33559502 5802.9992816 ],[1710.12573954 5699.57429497],[6522.67312392 6514.98665179],[1366.60411687 6834.08066552],[1238.02671748 7645.75233626],[ 727.44731457 5749.94640554],[1176.5258021 4802.1449357],[3738.29384677 7782.1514705 ],[4518.45434483 5450.1636079 ],[7280.64169161 5966.63933681]
[5936.78439015 5880.95823483],[1800.31089304 5740.57861895],[6529.50247396 6355.09418532],[1366.60411687 6834.08066552],[1242.07889097 7634.80099326],[ 727.44731457 5749.94640554],[1193.55092774 4856.91852639],[3738.29384677 7782.1514705 ],[4518.45434483 5450.1636079 ],[7280.64169161 5966.63933681]
[5787.95491652 5881.21040702],[1878.03485712 5766.24916995],[6553.1768049 6170.2712537],[1366.60411687 6834.08066552],[1243.22670599 7628.01488834],[ 727.44731457 5749.94640554],[1201.29944835 4876.80229646],[3738.29384677 7782.1514705 ],[4497.75777786 5482.83186025],[7280.64169161 5966.63933681]
[5702.39227254 5950.2231352 ],[1962.33113965 5785.17011498],[6564.49261256 6042.76572615],[1364.9791026  6806.85493696],[1244.35869139 7627.31122622],[ 730.07375366 5738.924635  ],[1201.29944835 4876.80229646],[3684.24716927 7808.13058399],[4435.17102296 5540.3039879 ],[7280.64169161 5966.63933681]
[5701.32283396 5958.55893362],[2063.42142212 5829.39899246],[6567.30965574 6040.91418627],[1355.07722261 6616.23435079],[1241.57268777 7631.36541397],[ 830.13496127 5761.90874065],[1201.29944835 4876.80229646],[3663.15118911 7902.76258497],[4369.30459786 5572.27969355],[7280.64169161 5966.63933681]
[5701.32283396 5958.55893362],[2147.03035889 5851.07355292],[6567.30965574 6040.91418627],[1339.97837935 6370.0121606 ],[1243.62681161 7632.85197898],[ 991.03049347 5815.06250154],[1215.52800145 4901.62665187],[3691.55809895 7990.72285848],[4320.80769995 5607.24771783],[7280.64169161 5966.63933681]
[5701.32283396 5958.55893362],[2167.06433444 5857.26526283],[6543.58521491 5957.78337356],[1331.99871053 6164.20714873],[1267.67598231 7596.67296273],[1143.8323136  5867.23198263],[1281.73235064 4899.92785054],[3738.29384677 7782.1514705 ],[4297.8890979  5733.30412628],[7280.64169161 5966.63933681]
[5529.6515525  5919.46172873],[2167.06433444 5857.26526283],[6404.68410141 5997.29828483],[1182.794882   6062.84985427],[1297.80563994 7574.35891034],[1219.70004777 5893.11451264],[1281.73235064 4899.92785054],[3671.05791788 7939.21963073],[4281.64535131 5808.7640548 ],[7280.64169161 5966.63933681]
[5529.6515525  5919.46172873],[2167.06433444 5857.26526283],[6373.79134612 6007.92499336],[1106.77625277 6028.46319493],[1300.80552722 7571.00693626],[1219.70004777 5893.11451264],[1679.77447545 4842.90709019],[3680.45079752 7802.92110065],[4281.64535131 5808.7640548 ],[7280.64169161 5966.63933681]
